# #(c) Patrick Heenan 
# #Extension (nm),	G(q) (kcal/mol),	G(q) (upper bound) (kcal/mol),	G(q) (lower bound) (kcal/mol)
# 
4.4636773232e-02,8.6313684719e-02,3.3157892997e-02,1.3946947644e-01
8.9273546464e-02,1.7221445304e-01,7.5060626827e-02,2.6936827925e-01
1.3391031970e-01,2.5789183208e-01,1.2517262222e-01,3.9061104194e-01
1.7854709293e-01,3.4353534898e-01,1.8208181456e-01,5.0498888340e-01
2.2318386616e-01,4.2933453086e-01,2.4443398464e-01,6.1423507707e-01
2.6782063939e-01,5.1547890485e-01,3.1100053807e-01,7.1995727162e-01
3.1245741262e-01,6.0215799808e-01,3.8073535459e-01,8.2358064157e-01
3.5709418586e-01,6.8956133768e-01,4.5282100879e-01,9.2630166657e-01
4.0173095909e-01,7.7787845077e-01,5.2668910607e-01,1.0290677955e+00
4.4636773232e-01,8.6729886449e-01,6.0199987755e-01,1.1325978514e+00
4.9100450555e-01,9.5798586499e-01,6.7863636396e-01,1.2373353660e+00
5.3564127878e-01,1.0499816649e+00,7.5676956804e-01,1.3431937618e+00
5.8027805202e-01,1.1432935097e+00,8.3654355903e-01,1.4500434604e+00
6.2491482525e-01,1.2379286409e+00,9.1803467461e-01,1.5578226072e+00
6.6955159848e-01,1.3338942998e+00,1.0012885381e+00,1.6665000616e+00
7.1418837171e-01,1.4311977280e+00,1.0863406250e+00,1.7760548310e+00
7.5882514494e-01,1.5298461669e+00,1.1732249791e+00,1.8864673547e+00
8.0346191817e-01,1.6298468578e+00,1.2619741308e+00,1.9977195849e+00
8.4809869141e-01,1.7312070423e+00,1.3526121983e+00,2.1098018863e+00
8.9273546464e-01,1.8339339618e+00,1.4451424133e+00,2.2227255102e+00
9.3737223787e-01,1.9380090107e+00,1.5394920552e+00,2.3365259663e+00
9.8200901110e-01,2.0432891911e+00,1.6353751693e+00,2.4512032128e+00
1.0266457843e+00,2.1495941967e+00,1.7324607152e+00,2.5667276782e+00
1.0712825576e+00,2.2567437158e+00,1.8304476001e+00,2.6830398315e+00
1.1159193308e+00,2.3645574367e+00,1.9290756612e+00,2.8000392122e+00
1.1605561040e+00,2.4728550474e+00,2.0281298732e+00,2.9175802217e+00
1.2051928773e+00,2.5814562363e+00,2.1274385059e+00,3.0354739666e+00
1.2498296505e+00,2.6901806915e+00,2.2268659597e+00,3.1534954233e+00
1.2944664237e+00,2.7988481012e+00,2.3263010318e+00,3.2713951705e+00
1.3391031970e+00,2.9072781535e+00,2.4256413184e+00,3.3889149887e+00
1.3837399702e+00,3.0153566841e+00,2.5248277990e+00,3.5058855693e+00
1.4283767434e+00,3.1233411376e+00,2.6240538811e+00,3.6226283942e+00
1.4730135167e+00,3.2316190901e+00,2.7235777557e+00,3.7396604244e+00
1.5176502899e+00,3.3405782704e+00,2.8236491669e+00,3.8575073739e+00
1.5622870631e+00,3.4506064076e+00,2.9245227033e+00,3.9766901119e+00
1.6069238363e+00,3.5620912307e+00,3.0264659879e+00,4.0977164736e+00
1.6515606096e+00,3.6754204688e+00,3.1297632422e+00,4.2210776954e+00
1.6961973828e+00,3.7909818507e+00,3.2347146193e+00,4.3472490822e+00
1.7408341560e+00,3.9091631056e+00,3.3416317210e+00,4.4766944903e+00
1.7854709293e+00,4.0303519624e+00,3.4508297799e+00,4.6098741448e+00
1.8301077025e+00,4.1548658759e+00,3.5625633414e+00,4.7471684104e+00
1.8747444757e+00,4.2825619408e+00,3.6767648577e+00,4.8883590240e+00
1.9193812490e+00,4.4131106387e+00,3.7932526110e+00,5.0329686664e+00
1.9640180222e+00,4.5461818705e+00,3.9118458898e+00,5.1805178513e+00
2.0086547954e+00,4.6814455376e+00,4.0323716286e+00,5.3305194466e+00
2.0532915687e+00,4.8185715409e+00,4.1546678361e+00,5.4824752457e+00
2.0979283419e+00,4.9572297817e+00,4.2785841993e+00,5.6358753642e+00
2.1425651151e+00,5.0970901612e+00,4.4039803675e+00,5.7901999548e+00
2.1872018884e+00,5.2378225803e+00,4.5307223456e+00,5.9449228150e+00
2.2318386616e+00,5.3790969403e+00,4.6586773135e+00,6.0995165671e+00
2.2764754348e+00,5.5206434162e+00,4.7877482938e+00,6.2535385387e+00
2.3211122081e+00,5.6626445861e+00,4.9180846221e+00,6.4072045500e+00
2.3657489813e+00,5.8054910412e+00,5.0499213153e+00,6.5610607672e+00
2.4103857545e+00,5.9495745773e+00,5.1834936231e+00,6.7156555315e+00
2.4550225278e+00,6.0952869898e+00,5.3190423773e+00,6.8715316023e+00
2.4996593010e+00,6.2430200743e+00,5.4568168120e+00,7.0292233365e+00
2.5442960742e+00,6.3931656262e+00,5.5970754224e+00,7.1892558299e+00
2.5889328475e+00,6.5461154411e+00,5.7400849914e+00,7.3521458909e+00
2.6335696207e+00,6.7022613146e+00,5.8861178912e+00,7.5184047380e+00
2.6782063939e+00,6.8619950422e+00,6.0354477708e+00,7.6885423136e+00
2.7228431671e+00,7.0256726207e+00,6.1883141431e+00,7.8630310983e+00
2.7674799404e+00,7.1933575322e+00,6.3447316761e+00,8.0419833883e+00
2.8121167136e+00,7.3649674872e+00,6.5046195235e+00,8.2253154508e+00
2.8567534868e+00,7.5404189904e+00,6.6679008027e+00,8.4129371781e+00
2.9013902601e+00,7.7196285470e+00,6.8345070248e+00,8.6047500693e+00
2.9460270333e+00,7.9025126620e+00,7.0043799869e+00,8.8006453371e+00
2.9906638065e+00,8.0889878403e+00,7.1774713456e+00,9.0005043351e+00
3.0353005798e+00,8.2789705870e+00,7.3537401030e+00,9.2042010709e+00
3.0799373530e+00,8.4723774070e+00,7.5331482417e+00,9.4116065722e+00
3.1245741262e+00,8.6691248053e+00,7.7156547281e+00,9.6225948824e+00
3.1692108995e+00,8.8691407899e+00,7.9012216746e+00,9.8370599051e+00
3.2138476727e+00,9.0724473774e+00,8.0899333873e+00,1.0054961368e+01
3.2584844459e+00,9.2791126311e+00,8.2819508370e+00,1.0276274425e+01
3.3031212192e+00,9.4892049277e+00,8.4774424619e+00,1.0500967394e+01
3.3477579924e+00,9.7027926439e+00,8.6765887184e+00,1.0728996569e+01
3.3923947656e+00,9.9199441563e+00,8.8795845953e+00,1.0960303717e+01
3.4370315389e+00,1.0140727842e+01,9.0866392607e+00,1.1194816423e+01
3.4816683121e+00,1.0365212077e+01,9.2979731652e+00,1.1432450989e+01
3.5263050853e+00,1.0593465239e+01,9.5138128692e+00,1.1673117608e+01
3.5709418586e+00,1.0825555703e+01,9.7343837805e+00,1.1916727626e+01
3.6155786318e+00,1.1061554753e+01,9.9598899617e+00,1.2163219544e+01
3.6602154050e+00,1.1301564663e+01,1.0190332575e+01,1.2412796752e+01
3.7048521782e+00,1.1545709222e+01,1.0425546751e+01,1.2665871694e+01
3.7494889515e+00,1.1794112805e+01,1.0665365872e+01,1.2922859738e+01
3.7941257247e+00,1.2046899789e+01,1.0909635482e+01,1.3184164095e+01
3.8387624979e+00,1.2304194549e+01,1.1158218292e+01,1.3450170806e+01
3.8833992712e+00,1.2566121462e+01,1.1410995791e+01,1.3721247134e+01
3.9280360444e+00,1.2832804905e+01,1.1667866509e+01,1.3997743301e+01
3.9726728176e+00,1.3104369254e+01,1.1928740996e+01,1.4279997511e+01
4.0173095909e+00,1.3380938884e+01,1.2193533648e+01,1.4568344120e+01
4.0619463641e+00,1.3662631086e+01,1.2462160601e+01,1.4863101571e+01
4.1065831373e+00,1.3949515253e+01,1.2734746188e+01,1.5164284318e+01
4.1512199106e+00,1.4241643151e+01,1.3011628772e+01,1.5471657531e+01
4.1958566838e+00,1.4539066626e+01,1.3293155689e+01,1.5784977563e+01
4.2404934570e+00,1.4841837521e+01,1.3579681706e+01,1.6103993336e+01
4.2851302303e+00,1.5150007684e+01,1.3871573612e+01,1.6428441755e+01
4.3297670035e+00,1.5463628958e+01,1.4169211077e+01,1.6758046839e+01
4.3744037767e+00,1.5782753190e+01,1.4472984210e+01,1.7092522169e+01
4.4190405500e+00,1.6107432224e+01,1.4783288167e+01,1.7431576281e+01
4.4636773232e+00,1.6437717906e+01,1.5100515080e+01,1.7774920733e+01
4.5083140964e+00,1.6773659595e+01,1.5425018550e+01,1.8122300641e+01
4.5529508697e+00,1.7115160152e+01,1.5756654239e+01,1.8473666066e+01
4.5975876429e+00,1.7461954658e+01,1.6094831572e+01,1.8829077744e+01
4.6422244161e+00,1.7813770730e+01,1.6438957993e+01,1.9188583468e+01
4.6868611894e+00,1.8170335988e+01,1.6788466618e+01,1.9552205357e+01
4.7314979626e+00,1.8531378049e+01,1.7142819602e+01,1.9919936495e+01
4.7761347358e+00,1.8896624532e+01,1.7501505596e+01,2.0291743467e+01
4.8207715090e+00,1.9265803055e+01,1.7864031330e+01,2.0667574779e+01
4.8654082823e+00,1.9638641237e+01,1.8229907347e+01,2.1047375126e+01
4.9100450555e+00,2.0014866696e+01,1.8598628033e+01,2.1431105358e+01
4.9546818287e+00,2.0394215776e+01,1.8969674131e+01,2.1818757421e+01
4.9993186020e+00,2.0776825650e+01,1.9343043039e+01,2.2210608262e+01
5.0439553752e+00,2.1163317501e+01,1.9719231463e+01,2.2607403539e+01
5.0885921484e+00,2.1554338321e+01,2.0098771367e+01,2.3009905275e+01
5.1332289217e+00,2.1950535105e+01,2.0482234279e+01,2.3418835930e+01
5.1778656949e+00,2.2352554845e+01,2.0870233674e+01,2.3834876015e+01
5.2225024681e+00,2.2761044534e+01,2.1263410799e+01,2.4258678270e+01
5.2671392414e+00,2.3176651167e+01,2.1662405129e+01,2.4690897206e+01
5.3117760146e+00,2.3600021736e+01,2.2067810957e+01,2.5132232516e+01
5.3564127878e+00,2.4031803236e+01,2.2480121869e+01,2.5583484602e+01
5.4010495611e+00,2.4472649370e+01,2.2899653755e+01,2.6045644985e+01
5.4456863343e+00,2.4922810323e+01,2.3326243435e+01,2.6519377210e+01
5.4903231075e+00,2.5381839435e+01,2.3759606009e+01,2.7004072861e+01
5.5349598808e+00,2.5849237194e+01,2.4199751312e+01,2.7498723075e+01
5.5795966540e+00,2.6324504087e+01,2.4647014956e+01,2.8001993217e+01
5.6242334272e+00,2.6807140601e+01,2.5102045527e+01,2.8512235676e+01
5.6688702005e+00,2.7296647224e+01,2.5565740765e+01,2.9027553683e+01
5.7135069737e+00,2.7792524443e+01,2.6039144275e+01,2.9545904611e+01
5.7581437469e+00,2.8294272745e+01,2.6523310416e+01,3.0065235073e+01
5.8027805202e+00,2.8801392616e+01,2.7019138383e+01,3.0583646850e+01
5.8474172934e+00,2.9313322647e+01,2.7527088521e+01,3.1099556773e+01
5.8920540666e+00,2.9828465773e+01,2.8045277788e+01,3.1611653758e+01
5.9366908398e+00,3.0344376374e+01,2.8569339311e+01,3.2119413437e+01
5.9813276131e+00,3.0858585394e+01,2.9094517087e+01,3.2622653700e+01
6.0259643863e+00,3.1368623775e+01,2.9615933385e+01,3.3121314164e+01
6.0706011595e+00,3.1872022461e+01,3.0128689552e+01,3.3615355369e+01
6.1152379328e+00,3.2366312395e+01,3.0627958159e+01,3.4104666631e+01
6.1598747060e+00,3.2849024521e+01,3.1109064159e+01,3.4588984884e+01
6.2045114792e+00,3.3317689783e+01,3.1567546613e+01,3.5067832952e+01
6.2491482525e+00,3.3769839123e+01,3.1999189112e+01,3.5540489133e+01
6.2937850257e+00,3.4203050530e+01,3.2400044430e+01,3.6006056630e+01
6.3384217989e+00,3.4616473989e+01,3.2767976613e+01,3.6464971366e+01
6.3830585722e+00,3.5011264707e+01,3.3103340201e+01,3.6919189213e+01
6.4276953454e+00,3.5388715021e+01,3.3407187066e+01,3.7370242976e+01
6.4723321186e+00,3.5750117269e+01,3.3681189918e+01,3.7819044619e+01
6.5169688919e+00,3.6096763789e+01,3.3927605142e+01,3.8265922436e+01
6.5616056651e+00,3.6429946919e+01,3.4149163729e+01,3.8710730109e+01
6.6062424383e+00,3.6750958997e+01,3.4348927705e+01,3.9152990289e+01
6.6508792116e+00,3.7061092362e+01,3.4530143140e+01,3.9592041584e+01
6.6955159848e+00,3.7361639351e+01,3.4696108486e+01,4.0027170216e+01
6.7401527580e+00,3.7653887445e+01,3.4850012665e+01,4.0457762224e+01
6.7847895313e+00,3.7938532876e+01,3.4993356624e+01,4.0883709128e+01
6.8294263045e+00,3.8215223355e+01,3.5125453367e+01,4.1304993342e+01
6.8740630777e+00,3.8483504311e+01,3.5245369142e+01,4.1721639481e+01
6.9186998509e+00,3.8742921178e+01,3.5352148030e+01,4.2133694327e+01
6.9633366242e+00,3.8993019388e+01,3.5444854757e+01,4.2541184018e+01
7.0079733974e+00,3.9233344372e+01,3.5522593147e+01,4.2944095596e+01
7.0526101706e+00,3.9463441562e+01,3.5584506381e+01,4.3342376743e+01
7.0972469439e+00,3.9682856392e+01,3.5629763892e+01,4.3735948891e+01
7.1418837171e+00,3.9891134292e+01,3.5657538732e+01,4.4124729851e+01
7.1865204903e+00,4.0087813224e+01,3.5666995641e+01,4.4508630807e+01
7.2311572636e+00,4.0272605018e+01,3.5657901353e+01,4.4887308682e+01
7.2757940368e+00,4.0445713677e+01,3.5630986719e+01,4.5260440635e+01
7.3204308100e+00,4.0607406178e+01,3.5587080266e+01,4.5627732089e+01
7.3650675833e+00,4.0757949494e+01,3.5527039188e+01,4.5988859801e+01
7.4097043565e+00,4.0897610602e+01,3.5451758016e+01,4.6343463188e+01
7.4543411297e+00,4.1026656476e+01,3.5362167391e+01,4.6691145561e+01
7.4989779030e+00,4.1145354091e+01,3.5259225554e+01,4.7031482628e+01
